,Date, Open, High, Low, Close
59,2000-04-03,977.51,979.49,963.01,965.41
60,2000-04-04,966.65,967.07,961.5,960.63
61,2000-04-05,959.08,963.84,948.98,955.06
62,2000-04-07,957.39,962.18,948.18,949.85
63,2000-04-10,951.37,952.07,932.5,939.55
64,2000-04-11,936.55,936.55,922.2,933.57
65,2000-04-12,933.87,940.98,932.04,940.6
66,2000-04-13,937.89,937.89,926.34,933.85
67,2000-04-14,932.28,932.76,927.15,931.21
68,2000-04-17,891.26,892.71,867.24,874.97
69,2000-04-18,884.34,887.13,876.44,880.9
70,2000-04-19,886.0,899.0,886.0,896.3
71,2000-04-20,895.86,898.63,891.98,895.27
72,2000-04-21,898.98,898.98,898.98,898.98
73,2000-04-24,899.16,900.01,883.54,887.88
74,2000-04-25,886.99,889.04,871.74,892.92
75,2000-04-26,899.58,903.15,894.04,899.0
76,2000-04-27,896.17,904.69,888.65,904.25
77,2000-04-28,903.93,908.94,895.34,898.35
78,2000-05-02,898.66,902.24,896.4,900.31
79,2000-05-03,900.14,903.88,896.21,904.55
80,2000-05-04,903.51,908.01,897.69,906.67
81,2000-05-05,908.64,921.41,908.02,925.45
82,2000-05-08,932.86,938.63,925.46,929.46
83,2000-05-09,929.07,929.07,920.68,927.7
84,2000-05-10,927.7,933.97,921.92,932.47
85,2000-05-11,928.31,928.31,911.46,920.71
86,2000-05-12,922.69,923.99,912.01,912.66
87,2000-05-15,912.0,917.42,908.11,910.74
88,2000-05-16,911.35,918.03,910.95,917.85
89,2000-05-17,921.15,930.99,915.06,922.3
90,2000-05-19,922.72,950.27,921.99,950.62
91,2000-05-22,949.63,954.59,936.91,933.47
92,2000-05-23,932.83,934.26,917.23,917.29
93,2000-05-24,910.68,910.68,896.85,903.8
94,2000-05-25,909.77,910.11,890.16,898.91
95,2000-05-26,892.4,892.59,878.74,884.57
96,2000-05-29,884.08,904.51,884.08,907.25
97,2000-05-30,906.03,915.27,901.18,903.21
98,2000-05-31,914.12,928.34,914.12,911.51
99,2000-06-01,914.12,916.42,899.05,904.53
100,2000-06-02,905.06,907.82,890.9,891.25
101,2000-06-05,892.2,894.62,883.89,881.39
102,2000-06-06,883.38,883.38,871.65,871.79
103,2000-06-07,871.11,871.11,847.74,855.24
104,2000-06-08,855.34,855.34,832.82,842.24
105,2000-06-09,841.08,862.71,840.5,861.3
106,2000-06-12,860.83,861.87,848.71,858.9
107,2000-06-13,859.1,864.94,854.7,865.45
108,2000-06-14,866.18,866.37,859.93,862.12
109,2000-06-16,861.57,861.57,835.05,836.19
110,2000-06-19,832.63,832.63,813.14,813.29
111,2000-06-20,813.26,817.3,802.26,812.62
112,2000-06-21,815.26,834.29,815.26,835.19
113,2000-06-22,835.27,835.27,816.05,822.59
114,2000-06-23,820.89,820.89,809.63,812.25
115,2000-06-26,810.45,810.45,797.79,803.87
116,2000-06-27,805.92,813.91,805.35,817.42
117,2000-06-28,817.84,830.68,812.6,841.54
118,2000-06-29,841.88,842.54,830.42,830.25
119,2000-06-30,828.67,829.08,816.26,833.37
120,2000-07-03,830.13,830.13,790.84,793.93
121,2000-07-04,793.41,809.16,792.59,807.87
122,2000-07-05,808.04,819.32,808.04,818.69
123,2000-07-06,817.84,817.84,808.58,815.68
124,2000-07-07,815.91,818.24,808.73,820.47
125,2000-07-10,821.63,838.17,821.63,837.59
126,2000-07-11,838.42,842.63,832.67,845.51
127,2000-07-12,846.04,855.25,840.92,859.34
128,2000-07-13,860.48,865.16,853.61,860.77
129,2000-07-14,860.73,861.02,849.52,856.24
130,2000-07-17,856.0,856.0,845.7,846.33
131,2000-07-18,846.23,846.64,838.88,838.03
132,2000-07-19,840.85,840.85,840.85,840.85
133,2000-07-20,837.37,843.12,834.86,835.3
134,2000-07-21,836.76,839.84,830.16,831.08
135,2000-07-24,831.41,831.81,818.34,822.89
136,2000-07-25,823.71,825.28,818.64,819.88
137,2000-07-26,818.99,821.8,812.83,814.96
138,2000-07-27,814.69,814.74,800.97,807.81
139,2000-07-28,806.6,806.6,797.96,799.09
140,2000-07-31,798.27,798.27,784.95,798.83
141,2000-08-01,799.59,806.19,794.98,804.59
142,2000-08-02,804.46,804.69,799.67,802.53
143,2000-08-03,802.19,814.61,800.94,809.87
144,2000-08-04,809.46,817.37,809.46,814.99
145,2000-08-07,815.1,815.97,809.62,814.26
146,2000-08-08,814.27,820.73,810.62,825.52
147,2000-08-09,825.58,825.58,816.78,819.11
148,2000-08-10,817.94,817.94,805.44,808.62
149,2000-08-11,809.03,809.59,801.08,802.53
150,2000-08-14,804.13,804.97,796.71,800.23
151,2000-08-15,801.36,809.02,799.76,806.74
152,2000-08-16,807.01,811.23,804.81,810.47
153,2000-08-17,809.17,822.15,808.9,821.53
154,2000-08-18,822.82,824.96,815.41,819.59
155,2000-08-21,819.17,819.29,808.89,809.4
156,2000-08-22,809.57,811.34,805.43,807.89
157,2000-08-23,807.99,809.76,804.43,809.05
158,2000-08-24,809.56,809.93,801.67,802.84
159,2000-08-25,801.61,801.61,796.72,799.26
160,2000-08-28,796.06,799.19,796.06,796.39
161,2000-08-29,796.28,806.07,795.72,798.49
162,2000-08-30,797.78,799.44,793.19,795.84
163,2000-09-01,795.26,795.26,767.08,767.02
164,2000-09-04,767.22,767.22,743.32,743.52
165,2000-09-05,744.62,752.97,744.62,751.58
166,2000-09-06,751.91,757.31,735.86,749.55
167,2000-09-07,746.57,747.86,738.53,743.64
168,2000-09-08,743.64,743.84,733.53,739.81
169,2000-09-11,739.34,739.34,725.77,727.15
170,2000-09-12,727.02,732.36,724.35,729.95
171,2000-09-13,730.09,741.9,729.61,745.07
172,2000-09-14,745.4,754.42,744.07,747.17
173,2000-09-15,747.13,753.3,739.91,752.61
174,2000-09-18,752.46,752.48,735.97,741.21
175,2000-09-19,738.73,749.24,726.66,741.53
176,2000-09-20,741.9,753.42,741.87,750.04
177,2000-09-21,750.41,750.41,741.8,747.16
178,2000-09-22,746.99,746.99,730.36,739.57
179,2000-09-25,739.71,740.21,730.43,735.61
180,2000-09-26,735.54,736.26,732.55,735.54
181,2000-09-27,735.4,735.4,719.88,728.46
182,2000-09-28,727.61,727.61,720.52,720.85
183,2000-09-29,721.85,723.52,715.07,713.51
184,2000-10-02,711.72,714.67,701.58,703.95
185,2000-10-03,704.24,708.48,699.72,708.54
186,2000-10-04,707.77,707.96,700.8,707.9
187,2000-10-05,707.32,710.8,702.68,704.16
188,2000-10-06,704.92,706.05,700.77,709.55
189,2000-10-09,709.25,709.25,700.82,704.99
190,2000-10-10,703.81,705.62,697.8,711.25
191,2000-10-11,711.26,712.72,705.58,714.25
192,2000-10-12,710.59,721.76,706.63,737.88
193,2000-10-13,725.12,751.9,720.33,750.04
194,2000-10-16,755.14,767.45,754.04,766.18
195,2000-10-17,766.51,775.86,764.03,765.2
196,2000-10-18,762.47,770.98,757.4,772.03
197,2000-10-19,770.2,772.99,766.76,774.2
198,2000-10-20,775.75,778.87,771.54,778.99
199,2000-10-23,779.52,781.13,770.22,783.5
200,2000-10-24,783.22,786.39,780.52,786.49
201,2000-10-25,786.86,796.22,780.38,796.22
202,2000-10-27,795.23,797.93,786.4,791.08
203,2000-10-30,786.53,786.53,767.31,774.31
204,2000-10-31,771.65,771.65,752.6,752.36
205,2000-11-01,753.12,763.32,747.25,758.12
206,2000-11-02,758.29,758.41,744.69,749.43
207,2000-11-03,760.3,760.3,760.3,760.3
208,2000-11-06,760.34,767.94,756.99,763.69
209,2000-11-07,762.67,766.64,761.12,763.84
210,2000-11-08,764.44,764.95,752.98,758.23
211,2000-11-09,758.09,758.09,751.83,753.14
212,2000-11-10,753.18,753.21,747.38,752.44
213,2000-11-13,751.11,751.11,733.53,737.2
214,2000-11-14,737.13,743.51,736.68,745.25
215,2000-11-15,746.01,746.23,737.46,737.68
216,2000-11-16,737.77,737.79,728.53,730.0
217,2000-11-17,728.81,735.68,727.03,735.09
218,2000-11-20,734.59,735.12,733.13,739.04
219,2000-11-21,731.68,731.68,725.84,727.08
220,2000-11-22,727.24,730.9,722.68,720.67
221,2000-11-23,720.67,720.67,709.38,708.87
222,2000-11-24,708.51,715.67,705.16,713.63
223,2000-11-27,714.26,727.9,714.26,731.09
224,2000-11-28,731.3,741.19,729.57,738.42
225,2000-11-29,737.29,737.29,729.21,732.25
226,2000-11-30,731.09,733.18,727.19,729.95
227,2000-12-01,728.93,728.93,721.17,725.69
228,2000-12-04,725.89,732.25,723.82,723.76
229,2000-12-05,724.61,731.51,722.94,729.5
230,2000-12-06,734.61,742.88,734.61,741.0
231,2000-12-07,739.87,739.87,730.51,735.97
232,2000-12-08,735.52,737.94,729.78,733.49
233,2000-12-11,731.52,736.06,728.52,736.09
234,2000-12-12,736.0,736.35,724.63,724.89
235,2000-12-13,725.05,726.86,717.82,719.25
236,2000-12-14,719.25,721.13,714.37,712.5
237,2000-12-15,712.21,712.21,697.76,700.44
238,2000-12-18,697.31,709.79,685.27,711.1
239,2000-12-19,710.68,720.74,707.65,710.86
240,2000-12-20,710.66,714.13,699.36,705.51
241,2000-12-21,703.66,703.66,685.75,700.96
242,2000-12-22,699.03,704.09,696.39,696.39
243,2000-12-26,698.38,704.89,673.74,679.64
244,2001-01-02,676.44,676.44,653.15,666.63
245,2001-01-03,663.2,665.24,657.0,657.52
246,2001-01-04,665.19,667.19,656.08,663.87
247,2001-01-05,661.5,662.04,655.12,670.18
248,2001-01-08,675.0,675.0,675.0,675.0
249,2001-01-09,674.93,676.18,665.65,674.54
250,2001-01-10,675.23,680.25,670.91,679.79
251,2001-01-11,680.67,683.5,677.59,675.77
252,2001-01-12,676.97,680.8,675.28,678.9
253,2001-01-15,682.66,682.66,682.66,682.66
254,2001-01-16,682.58,685.37,680.22,679.29
255,2001-01-17,679.55,682.56,671.27,679.65
256,2001-01-18,676.97,683.48,675.92,683.92
257,2001-01-19,684.58,697.04,683.06,694.5
258,2001-01-22,694.07,712.54,694.05,711.04
259,2001-01-26,711.12,718.61,707.48,715.06
260,2001-01-29,715.79,720.76,714.37,719.86
261,2001-01-30,720.99,727.61,720.99,722.69
262,2001-01-31,723.25,727.73,714.58,727.73
263,2001-02-02,729.76,735.36,725.42,736.34
264,2001-02-05,732.81,735.65,725.03,732.02
265,2001-02-06,733.79,733.88,728.29,732.81
266,2001-02-07,733.5,736.74,723.09,729.1
267,2001-02-08,730.1,730.1,719.55,719.87
268,2001-02-09,720.62,727.27,717.36,724.81
269,2001-02-12,723.82,725.79,719.13,725.58
270,2001-02-13,725.67,725.7,717.49,719.14
271,2001-02-14,716.84,718.45,708.5,714.54
272,2001-02-15,715.07,715.5,709.72,711.33
273,2001-02-16,711.05,716.39,711.05,714.66
274,2001-02-19,714.73,714.73,703.61,711.33
275,2001-02-20,710.3,710.3,704.14,713.32
276,2001-02-21,712.92,714.95,709.05,711.52
277,2001-02-22,710.24,712.59,706.09,713.48
278,2001-02-23,713.52,716.82,711.88,712.76
279,2001-02-26,712.49,713.14,706.5,710.94
280,2001-02-27,711.96,712.27,708.86,711.29
281,2001-02-28,711.28,711.28,705.24,709.39
282,2001-03-01,708.0,708.0,697.7,702.0
283,2001-03-02,702.5,702.71,696.89,703.07
284,2001-03-05,703.58,706.03,696.41,706.03
285,2001-03-07,706.38,707.74,701.24,701.65
286,2001-03-08,701.61,701.61,696.9,696.42
287,2001-03-09,696.41,697.2,690.61,695.26
288,2001-03-12,692.4,692.4,681.71,688.89
289,2001-03-13,682.72,683.22,675.61,682.63
290,2001-03-14,683.29,686.23,677.74,682.33
291,2001-03-15,677.92,677.92,670.16,675.86
292,2001-03-16,675.31,677.24,670.56,672.01
293,2001-03-19,670.99,670.99,658.61,665.26
294,2001-03-20,665.75,666.4,655.51,656.5
295,2001-03-21,654.3,654.3,638.51,673.24
296,2001-03-22,667.4,667.4,654.67,669.49
297,2001-03-23,669.69,670.31,663.49,669.27
298,2001-03-27,663.47,663.47,663.47,663.47
299,2001-03-28,664.39,668.16,661.91,660.82
300,2001-03-29,660.21,660.42,651.85,652.03
301,2001-03-30,652.29,655.21,645.88,647.48
302,2001-04-02,646.13,646.14,637.78,650.74
303,2001-04-03,650.65,650.65,635.23,633.17
304,2001-04-04,627.05,627.05,599.21,594.26
305,2001-04-05,593.91,598.72,574.92,591.74
306,2001-04-06,602.74,602.74,582.39,577.44
307,2001-04-09,575.17,575.17,552.9,553.34
308,2001-04-10,553.4,558.99,547.72,555.49
309,2001-04-11,556.38,569.71,555.14,567.88
310,2001-04-12,567.57,568.23,559.71,566.47
311,2001-04-13,568.56,579.62,568.56,581.37
312,2001-04-16,581.37,581.37,573.69,578.37
313,2001-04-17,581.84,581.84,571.51,575.07
314,2001-04-18,576.23,578.2,564.66,570.02
315,2001-04-19,577.11,578.52,567.68,570.01
316,2001-04-20,571.63,582.69,569.7,575.67
317,2001-04-23,576.63,577.25,570.49,573.37
318,2001-04-24,572.96,573.0,567.49,571.69
319,2001-04-25,571.16,573.98,570.0,573.0
320,2001-04-26,572.63,581.57,572.63,579.89
321,2001-04-27,580.07,591.32,579.98,585.87
322,2001-04-30,588.37,593.79,583.77,584.5
323,2001-05-02,592.03,606.42,591.11,611.42
324,2001-05-03,615.98,620.48,609.54,606.66
325,2001-05-04,604.17,604.18,576.99,576.99
326,2001-05-08,576.73,581.33,569.53,570.91
327,2001-05-09,571.08,574.51,568.81,572.91
328,2001-05-10,573.84,579.98,572.99,573.73
329,2001-05-11,573.5,573.5,570.22,571.02
330,2001-05-14,570.35,570.35,562.49,566.69
331,2001-05-15,566.75,566.93,559.97,561.46
332,2001-05-16,561.18,569.03,561.18,565.15
333,2001-05-17,568.59,572.22,566.33,565.61
334,2001-05-18,565.84,565.84,555.91,557.66
335,2001-05-21,557.43,560.08,552.7,554.36
336,2001-05-22,554.97,560.06,552.46,556.52
337,2001-05-23,556.38,559.84,555.84,560.79
338,2001-05-24,560.75,567.12,558.69,567.58
339,2001-05-25,568.53,570.06,564.67,563.72
340,2001-05-28,563.95,564.59,560.65,566.09
341,2001-05-29,566.18,569.6,565.02,567.62
342,2001-05-30,567.44,570.46,566.95,570.68
343,2001-05-31,570.49,572.04,568.39,572.88
344,2001-06-01,573.3,573.65,569.68,571.26
345,2001-06-05,571.12,571.12,563.26,567.36
346,2001-06-06,567.74,568.99,563.52,564.08
347,2001-06-07,563.93,565.61,562.75,567.15
348,2001-06-08,566.54,577.09,566.54,575.71
349,2001-06-11,575.79,582.23,574.75,585.28
350,2001-06-12,584.75,597.51,584.01,593.11
351,2001-06-13,593.93,598.32,589.84,598.72
352,2001-06-14,598.55,607.02,597.3,600.86
353,2001-06-15,599.59,599.59,590.14,589.42
354,2001-06-18,588.65,588.77,579.26,584.82
355,2001-06-19,585.39,592.13,585.39,589.93
356,2001-06-20,590.13,590.71,586.73,586.11
357,2001-06-21,586.3,591.55,586.03,592.0
358,2001-06-22,592.15,592.72,588.9,587.89
359,2001-06-25,587.95,590.92,585.65,590.43
360,2001-06-26,590.42,596.07,589.15,595.24
361,2001-06-27,595.22,595.45,591.77,590.65
362,2001-06-28,590.78,593.52,589.47,586.96
363,2001-06-29,587.68,594.1,587.68,592.99
364,2001-07-02,591.66,591.83,584.67,586.25
365,2001-07-03,586.32,590.03,586.06,591.18
366,2001-07-04,591.22,599.2,590.67,598.14
367,2001-07-05,598.21,617.15,598.21,617.14
368,2001-07-06,617.9,637.59,616.71,626.81
369,2001-07-09,623.21,632.05,620.52,627.7
370,2001-07-10,627.81,627.83,622.72,626.23
371,2001-07-11,625.85,625.85,616.6,618.01
372,2001-07-12,618.18,618.38,609.62,609.83
373,2001-07-13,612.7,617.05,612.66,621.03
374,2001-07-16,621.59,631.74,621.54,630.1
375,2001-07-17,631.78,635.53,630.97,637.4
376,2001-07-18,639.49,649.29,639.49,647.72
377,2001-07-19,648.61,654.31,646.95,649.49
378,2001-07-20,649.68,651.77,646.76,648.78
379,2001-07-23,649.4,650.23,636.8,637.33
380,2001-07-24,637.15,638.31,628.57,636.59
381,2001-07-25,637.1,644.97,637.1,643.77
382,2001-07-26,644.13,648.85,643.06,642.79
383,2001-07-27,643.44,649.1,643.44,646.33
384,2001-07-30,646.83,657.73,646.83,657.51
385,2001-07-31,658.0,667.11,657.25,659.4
386,2001-08-01,660.06,663.32,656.3,662.96
387,2001-08-02,663.59,667.79,660.74,661.65
388,2001-08-03,662.71,662.95,658.04,659.25
389,2001-08-06,659.03,659.26,653.19,654.02
390,2001-08-07,653.88,659.12,650.35,657.65
391,2001-08-08,657.79,658.98,654.77,656.82
392,2001-08-09,656.27,657.01,651.44,652.09
393,2001-08-10,652.09,652.25,644.92,648.06
394,2001-08-13,647.76,648.75,645.57,648.32
395,2001-08-14,648.51,658.1,648.51,657.72
396,2001-08-15,658.59,663.87,657.33,656.26
397,2001-08-16,656.81,658.8,653.92,655.15
398,2001-08-17,655.2,658.71,655.11,655.76
399,2001-08-20,655.15,655.41,652.35,654.42
400,2001-08-21,654.55,655.54,652.22,653.77
401,2001-08-22,653.81,656.22,652.88,657.11
402,2001-08-23,658.04,670.43,658.04,669.86
403,2001-08-24,670.14,684.7,669.42,682.87
404,2001-08-27,684.69,697.42,684.69,694.22
405,2001-08-28,694.23,697.01,691.18,691.47
406,2001-08-29,690.89,690.99,685.67,689.05
407,2001-08-30,689.18,689.46,684.82,687.16
408,2001-09-03,686.35,692.22,686.07,690.45
409,2001-09-04,690.53,695.38,688.49,687.73
410,2001-09-05,687.71,690.85,687.05,688.9
411,2001-09-06,689.09,690.45,687.0,688.0
412,2001-09-07,687.94,701.23,686.03,696.65
413,2001-09-10,696.27,701.76,694.75,695.28
414,2001-09-11,690.54,690.54,690.54,690.54
415,2001-09-13,660.99,665.76,644.31,664.52
416,2001-09-14,644.53,644.53,644.53,644.53
417,2001-09-17,636.08,636.08,600.51,609.0
418,2001-09-18,612.79,627.32,589.9,607.64
419,2001-09-19,609.73,630.42,609.17,633.52
420,2001-09-20,631.84,631.84,622.02,629.74
421,2001-09-21,619.46,619.46,609.82,607.91
422,2001-09-24,607.28,607.28,588.77,605.44
423,2001-09-25,616.11,616.31,604.25,605.95
424,2001-09-26,606.22,610.03,602.03,602.51
425,2001-09-27,602.7,616.34,602.25,612.64
426,2001-09-28,614.57,619.6,614.29,615.34
427,2001-10-01,617.15,617.76,611.39,613.95
428,2001-10-02,613.0,615.54,611.51,616.74
429,2001-10-03,617.5,617.88,614.04,616.72
430,2001-10-04,618.57,618.57,606.51,611.05
431,2001-10-05,610.66,613.46,610.52,609.0
432,2001-10-08,604.11,604.11,595.44,599.77
433,2001-10-09,599.75,608.54,599.0,609.66
434,2001-10-10,610.15,612.03,606.64,603.9
435,2001-10-11,606.49,609.95,606.26,609.39
436,2001-10-12,613.21,613.74,610.35,611.32
437,2001-10-15,611.37,617.0,610.78,618.9
438,2001-10-16,620.18,622.36,617.34,616.85
439,2001-10-17,617.56,619.97,617.56,621.58
440,2001-10-18,621.93,623.51,620.37,620.77
441,2001-10-19,621.29,621.3,614.18,615.02
442,2001-10-22,614.21,614.27,608.93,609.09
443,2001-10-23,610.68,613.91,608.99,613.62
444,2001-10-24,614.06,615.69,612.91,616.4
445,2001-10-25,616.56,618.6,615.4,615.11
446,2001-10-26,615.41,616.01,609.73,612.41
447,2001-10-29,612.45,613.67,605.0,605.8
448,2001-10-30,605.24,605.26,601.37,603.19
449,2001-10-31,603.19,603.34,597.39,600.07
450,2001-11-01,599.75,599.75,595.53,596.02
451,2001-11-02,596.65,601.45,595.46,596.65
452,2001-11-05,597.37,598.43,591.09,592.85
453,2001-11-06,593.87,595.8,592.34,592.75
454,2001-11-07,592.58,593.94,589.88,592.26
455,2001-11-08,592.24,597.76,591.54,598.57
456,2001-11-09,598.39,602.6,598.02,599.45
457,2001-11-12,599.46,603.27,598.5,603.68
458,2001-11-13,603.3,612.72,602.81,612.72
459,2001-11-15,616.63,631.84,616.63,632.5
460,2001-11-16,633.86,636.19,631.33,635.31
461,2001-11-19,636.07,636.43,631.26,628.14
462,2001-11-20,628.26,633.33,626.22,625.38
463,2001-11-21,624.13,632.91,621.66,632.91
464,2001-11-23,633.14,640.37,633.11,639.53
465,2001-11-26,639.53,641.52,637.55,640.48
466,2001-11-27,640.76,642.84,637.16,638.35
467,2001-11-28,638.63,639.06,632.05,641.06
468,2001-11-29,641.05,642.92,638.48,641.95
469,2001-11-30,642.29,643.78,639.46,638.02
470,2001-12-03,637.83,644.05,637.04,643.35
471,2001-12-04,643.12,646.36,641.74,647.51
472,2001-12-05,648.07,662.27,648.07,653.01
473,2001-12-06,659.17,663.65,655.99,656.38
474,2001-12-07,656.46,662.85,655.56,661.52
475,2001-12-10,661.11,667.95,661.05,667.11
476,2001-12-11,666.84,666.98,662.78,668.09
477,2001-12-12,668.18,668.46,664.9,669.22
478,2001-12-13,669.26,670.06,663.05,662.01
479,2001-12-14,661.12,666.04,656.24,664.12
480,2001-12-20,663.79,663.88,660.02,662.45
481,2001-12-21,661.97,665.63,659.68,665.05
482,2001-12-24,665.6,669.58,665.19,669.58
483,2001-12-26,670.91,676.98,667.2,679.3
484,2001-12-27,679.94,687.25,679.89,687.72
485,2001-12-28,687.94,688.35,683.74,691.64
486,2001-12-31,692.11,696.09,688.74,696.09
487,2002-01-02,695.2,695.2,681.5,682.83
488,2002-01-03,682.93,687.64,682.63,683.48
489,2002-01-04,685.34,692.15,685.34,693.47
490,2002-01-07,694.63,701.54,694.21,697.11
491,2002-01-08,697.28,697.29,689.92,692.21
492,2002-01-09,692.4,699.01,692.4,700.47
493,2002-01-10,700.81,709.89,700.69,704.99
494,2002-01-11,705.22,710.29,698.96,703.04
495,2002-01-14,703.12,703.7,695.08,698.45
496,2002-01-15,698.25,701.66,695.56,700.47
497,2002-01-16,700.04,702.57,698.27,700.62
498,2002-01-17,698.77,698.77,692.45,697.87
499,2002-01-18,698.58,699.44,696.75,698.53
500,2002-01-21,698.14,698.91,694.75,695.94
501,2002-01-22,696.16,697.0,689.38,690.23
502,2002-01-23,690.22,690.39,685.46,688.56
503,2002-01-24,689.06,689.17,683.97,685.95
504,2002-01-25,685.57,693.66,685.36,693.58
505,2002-01-28,694.17,704.83,694.17,705.61
506,2002-01-29,706.98,711.26,706.98,706.32
507,2002-01-30,704.78,707.65,701.19,710.0
508,2002-01-31,710.35,717.8,710.35,718.82
509,2002-02-04,720.67,726.89,720.67,723.54
510,2002-02-05,722.72,724.26,716.8,720.33
511,2002-02-06,719.95,719.95,715.02,715.22
512,2002-02-07,716.3,716.76,705.75,707.68
513,2002-02-08,710.58,713.38,706.91,710.92
514,2002-02-14,712.49,716.77,711.14,714.81
515,2002-02-15,714.99,724.39,714.99,721.98
516,2002-02-18,722.27,723.35,717.17,721.13
517,2002-02-19,722.42,730.21,722.42,729.73
518,2002-02-20,729.67,729.67,722.87,722.79
519,2002-02-21,722.74,725.56,716.19,717.39
520,2002-02-22,717.14,717.81,707.68,710.61
521,2002-02-25,710.29,710.29,698.57,701.31
522,2002-02-26,702.32,707.05,702.2,701.09
523,2002-02-27,701.39,706.81,698.07,703.92
524,2002-02-28,704.3,706.91,703.19,708.91
525,2002-03-01,708.74,716.69,708.74,717.57
526,2002-03-04,719.88,727.44,719.88,724.9
527,2002-03-05,729.34,738.84,729.34,736.69
528,2002-03-06,737.04,738.52,732.66,737.05
529,2002-03-07,737.27,740.1,736.98,741.72
530,2002-03-08,741.53,750.37,740.0,747.63
531,2002-03-11,749.93,762.17,749.93,761.01
532,2002-03-12,761.4,761.4,752.53,753.62
533,2002-03-13,754.0,755.07,750.25,754.51
534,2002-03-14,754.14,754.14,749.16,751.64
535,2002-03-18,752.14,759.38,751.82,757.44
536,2002-03-19,756.58,756.96,749.79,754.27
537,2002-03-20,754.35,756.74,752.88,754.95
538,2002-03-21,754.69,755.28,752.13,756.22
539,2002-03-22,755.97,756.4,750.82,752.63
540,2002-03-25,752.29,752.34,744.89,746.26
541,2002-03-26,746.44,750.49,746.31,751.3
542,2002-03-27,751.55,755.62,751.55,756.51
543,2002-03-28,756.09,760.45,755.33,755.05
544,2002-03-29,755.95,758.85,755.95,756.1
545,2002-04-01,756.42,756.57,752.51,757.39
546,2002-04-02,756.91,756.91,753.48,755.42
547,2002-04-03,754.72,756.12,747.82,755.47
548,2002-04-04,755.36,755.43,749.79,752.41
549,2002-04-05,753.08,760.91,752.11,761.42
550,2002-04-08,762.43,773.01,762.43,772.26
551,2002-04-09,773.95,776.9,771.89,775.88
552,2002-04-10,776.0,777.34,774.44,774.58
553,2002-04-11,775.88,778.87,774.61,774.76
554,2002-04-12,774.39,777.1,769.91,776.21
555,2002-04-15,777.26,786.22,777.26,784.54
556,2002-04-16,784.92,785.38,781.37,782.12
