Date,Open,High,Low,Close
02/06/2011,1558.04,1558.04,1558.04,1558.04
03/06/2011,1559.85,1559.85,1559.85,1559.85
06/06/2011,1552.14,1552.14,1552.14,1552.14
07/06/2011,1551.89,1551.89,1551.89,1551.89
08/06/2011,1551.79,1551.79,1551.79,1551.79
09/06/2011,1550.89,1550.89,1550.89,1550.89
10/06/2011,1556.19,1556.19,1556.19,1556.19
13/06/2011,1545.88,1545.88,1545.88,1545.88
14/06/2011,1548.51,1548.51,1548.51,1548.51
15/06/2011,1556.19,1556.19,1556.19,1556.19
16/06/2011,1554.24,1554.24,1554.24,1554.24
17/06/2011,1563.43,1563.43,1563.43,1563.43
20/06/2011,1559.19,1559.19,1559.19,1559.19
21/06/2011,1560.79,1560.79,1560.79,1560.79
22/06/2011,1567.35,1567.35,1567.35,1567.35
23/06/2011,1563.19,1563.19,1563.19,1563.19
24/06/2011,1564.66,1564.66,1564.66,1564.66
27/06/2011,1562.52,1562.52,1562.52,1562.52
28/06/2011,1570.02,1570.02,1570.02,1570.02
29/06/2011,1575.01,1575.01,1575.01,1575.01
30/06/2011,1579.07,1579.07,1579.07,1579.07
01/07/2011,1582.94,1582.94,1582.94,1582.94
04/07/2011,1582.35,1582.35,1582.35,1582.35
05/07/2011,1581.85,1581.85,1581.85,1581.85
06/07/2011,1591.34,1591.34,1591.34,1591.34
07/07/2011,1590.24,1590.24,1590.24,1590.24
08/07/2011,1594.74,1594.74,1594.74,1594.74
11/07/2011,1588.58,1588.58,1588.58,1588.58
12/07/2011,1578.1,1578.1,1578.1,1578.1
13/07/2011,1580.67,1580.67,1580.67,1580.67
14/07/2011,1579.84,1579.84,1579.84,1579.84
15/07/2011,1577.25,1577.25,1577.25,1577.25
18/07/2011,1562.58,1562.58,1562.58,1562.58
19/07/2011,1555.64,1555.64,1555.64,1555.64
20/07/2011,1562.59,1562.59,1562.59,1562.59
21/07/2011,1565.81,1565.81,1565.81,1565.81
22/07/2011,1565.06,1565.06,1565.06,1565.06
25/07/2011,1559.6,1559.6,1559.6,1559.6
26/07/2011,1561.77,1561.77,1561.77,1561.77
27/07/2011,1558.17,1558.17,1558.17,1558.17
28/07/2011,1551.91,1551.91,1551.91,1551.91
29/07/2011,1548.81,1548.81,1548.81,1548.81
01/08/2011,1558.01,1558.01,1558.01,1558.01
02/08/2011,1554.85,1554.85,1554.85,1554.85
03/08/2011,1545.1,1545.1,1545.1,1545.1
04/08/2011,1546.89,1546.89,1546.89,1546.89
05/08/2011,1524.43,1524.43,1524.43,1524.43
08/08/2011,1496.99,1496.99,1496.99,1496.99
09/08/2011,1472.14,1472.14,1472.14,1472.14
10/08/2011,1480.52,1480.52,1480.52,1480.52
11/08/2011,1476.46,1476.46,1476.46,1476.46
12/08/2011,1483.67,1483.67,1483.67,1483.67
15/08/2011,1499.74,1499.74,1499.74,1499.74
16/08/2011,1498.24,1498.24,1498.24,1498.24
17/08/2011,1503.07,1503.07,1503.07,1503.07
18/08/2011,1503.3,1503.3,1503.3,1503.3
19/08/2011,1483.98,1483.98,1483.98,1483.98
22/08/2011,1472.16,1472.16,1472.16,1472.16
23/08/2011,1482.37,1482.37,1482.37,1482.37
24/08/2011,1469.15,1469.15,1469.15,1469.15
25/08/2011,1464.74,1464.74,1464.74,1464.74
26/08/2011,1444.81,1444.81,1444.81,1444.81
29/08/2011,1447.27,1447.27,1447.27,1447.27
30/08/2011,1447.27,1447.27,1447.27,1447.27
31/08/2011,1447.27,1447.27,1447.27,1447.27
01/09/2011,1447.27,1447.27,1447.27,1447.27
02/09/2011,1474.09,1474.09,1474.09,1474.09
05/09/2011,1463.12,1463.12,1463.12,1463.12
06/09/2011,1454.37,1454.37,1454.37,1454.37
07/09/2011,1464.61,1464.61,1464.61,1464.61
08/09/2011,1469.83,1469.83,1469.83,1469.83
09/09/2011,1469.12,1469.12,1469.12,1469.12
12/09/2011,1446.26,1446.26,1446.26,1446.26
13/09/2011,1448,1448,1448,1448
14/09/2011,1437.61,1437.61,1437.61,1437.61
15/09/2011,1430.93,1430.93,1430.93,1430.93
16/09/2011,1430.93,1430.93,1430.93,1430.93
19/09/2011,1413.12,1413.12,1413.12,1413.12
20/09/2011,1410.64,1410.64,1410.64,1410.64
21/09/2011,1419.04,1419.04,1419.04,1419.04
22/09/2011,1387.81,1387.81,1387.81,1387.81
23/09/2011,1365.94,1365.94,1365.94,1365.94
26/09/2011,1331.8,1331.8,1331.8,1331.8
27/09/2011,1364.2,1364.2,1364.2,1364.2
28/09/2011,1371.55,1371.55,1371.55,1371.55
29/09/2011,1387.46,1387.46,1387.46,1387.46
30/09/2011,1387.13,1387.13,1387.13,1387.13
03/10/2011,1367.52,1367.52,1367.52,1367.52
04/10/2011,1361.38,1361.38,1361.38,1361.38
05/10/2011,1375.67,1375.67,1375.67,1375.67
06/10/2011,1393.69,1393.69,1393.69,1393.69
07/10/2011,1400.05,1400.05,1400.05,1400.05
10/10/2011,1397.04,1397.04,1397.04,1397.04
11/10/2011,1411.65,1411.65,1411.65,1411.65
12/10/2011,1428.5,1428.5,1428.5,1428.5
13/10/2011,1444.87,1444.87,1444.87,1444.87
14/10/2011,1442.43,1442.43,1442.43,1442.43
17/10/2011,1465.35,1465.35,1465.35,1465.35
18/10/2011,1439.94,1439.94,1439.94,1439.94
19/10/2011,1450.25,1450.25,1450.25,1450.25
20/10/2011,1441.18,1441.18,1441.18,1441.18
21/10/2011,1438.83,1438.83,1438.83,1438.83
24/10/2011,1450.02,1450.02,1450.02,1450.02
25/10/2011,1457.8,1457.8,1457.8,1457.8
26/10/2011,1457.8,1457.8,1457.8,1457.8
27/10/2011,1470.93,1470.93,1470.93,1470.93
28/10/2011,1481.82,1481.82,1481.82,1481.82
31/10/2011,1491.89,1491.89,1491.89,1491.89
01/11/2011,1475.64,1475.64,1475.64,1475.64
02/11/2011,1470.95,1470.95,1470.95,1470.95
03/11/2011,1462.37,1462.37,1462.37,1462.37
04/11/2011,1477.51,1477.51,1477.51,1477.51
07/11/2011,1477.51,1477.51,1477.51,1477.51
08/11/2011,1480.46,1480.46,1480.46,1480.46
09/11/2011,1489.64,1489.64,1489.64,1489.64
10/11/2011,1472.65,1472.65,1472.65,1472.65
11/11/2011,1468.75,1468.75,1468.75,1468.75
14/11/2011,1478.87,1478.87,1478.87,1478.87
15/11/2011,1477.22,1477.22,1477.22,1477.22
16/11/2011,1476.84,1476.84,1476.84,1476.84
17/11/2011,1465.47,1465.47,1465.47,1465.47
18/11/2011,1454.4,1454.4,1454.4,1454.4
21/11/2011,1434.08,1434.08,1434.08,1434.08
22/11/2011,1437.99,1437.99,1437.99,1437.99
23/11/2011,1433.17,1433.17,1433.17,1433.17
24/11/2011,1447.99,1447.99,1447.99,1447.99
25/11/2011,1431.55,1431.55,1431.55,1431.55
28/11/2011,1431.55,1431.55,1431.55,1431.55
29/11/2011,1444.72,1444.72,1444.72,1444.72
30/11/2011,1472.1,1472.1,1472.1,1472.1
01/12/2011,1485.26,1485.26,1485.26,1485.26
02/12/2011,1489.02,1489.02,1489.02,1489.02
05/12/2011,1489.95,1489.95,1489.95,1489.95
06/12/2011,1480.92,1480.92,1480.92,1480.92
07/12/2011,1482.99,1482.99,1482.99,1482.99
08/12/2011,1472.92,1472.92,1472.92,1472.92
09/12/2011,1460.13,1460.13,1460.13,1460.13
12/12/2011,1467.1,1467.1,1467.1,1467.1
13/12/2011,1465.39,1465.39,1465.39,1465.39
14/12/2011,1463.12,1463.12,1463.12,1463.12
15/12/2011,1464.11,1464.11,1464.11,1464.11
16/12/2011,1466.22,1466.22,1466.22,1466.22
19/12/2011,1477.78,1477.78,1477.78,1477.78
20/12/2011,1465.17,1465.17,1465.17,1465.17
21/12/2011,1484.98,1484.98,1484.98,1484.98
22/12/2011,1491.46,1491.46,1491.46,1491.46
23/12/2011,1496.15,1496.15,1496.15,1496.15
27/12/2011,1500.91,1500.91,1500.91,1500.91
28/12/2011,1504.11,1504.11,1504.11,1504.11
29/12/2011,1506.69,1506.69,1506.69,1506.69
30/12/2011,1530.73,1530.73,1530.73,1530.73
03/01/2012,1513.54,1513.54,1513.54,1513.54
04/01/2012,1504.22,1504.22,1504.22,1504.22
05/01/2012,1514.43,1514.43,1514.43,1514.43
06/01/2012,1514.13,1514.13,1514.13,1514.13
09/01/2012,1521.73,1521.73,1521.73,1521.73
10/01/2012,1521.99,1521.99,1521.99,1521.99
11/01/2012,1522.29,1522.29,1522.29,1522.29
12/01/2012,1525.56,1525.56,1525.56,1525.56
13/01/2012,1523.07,1523.07,1523.07,1523.07
16/01/2012,1509.06,1509.06,1509.06,1509.06
17/01/2012,1519.36,1519.36,1519.36,1519.36
18/01/2012,1517.38,1517.38,1517.38,1517.38
19/01/2012,1516.81,1516.81,1516.81,1516.81
20/01/2012,1522.66,1522.66,1522.66,1522.66
23/01/2012,1522.66,1522.66,1522.66,1522.66
24/01/2012,1522.66,1522.66,1522.66,1522.66
25/01/2012,1519.76,1519.76,1519.76,1519.76
26/01/2012,1523.86,1523.86,1523.86,1523.86
27/01/2012,1520.9,1520.9,1520.9,1520.9
30/01/2012,1513.55,1513.55,1513.55,1513.55
31/01/2012,1521.29,1521.29,1521.29,1521.29
01/02/2012,1521.29,1521.29,1521.29,1521.29
02/02/2012,1537.09,1537.09,1537.09,1537.09
03/02/2012,1538.77,1538.77,1538.77,1538.77
06/02/2012,1538.77,1538.77,1538.77,1538.77
07/02/2012,1538.77,1538.77,1538.77,1538.77
08/02/2012,1553.18,1553.18,1553.18,1553.18
09/02/2012,1565.32,1565.32,1565.32,1565.32
10/02/2012,1561.66,1561.66,1561.66,1561.66
13/02/2012,1562.82,1562.82,1562.82,1562.82
14/02/2012,1566.05,1566.05,1566.05,1566.05
15/02/2012,1561.3,1561.3,1561.3,1561.3
16/02/2012,1550.49,1550.49,1550.49,1550.49
17/02/2012,1557.15,1557.15,1557.15,1557.15
20/02/2012,1560.57,1560.57,1560.57,1560.57
21/02/2012,1563.78,1563.78,1563.78,1563.78
22/02/2012,1560.52,1560.52,1560.52,1560.52
23/02/2012,1556.66,1556.66,1556.66,1556.66
24/02/2012,1558.77,1558.77,1558.77,1558.77
27/02/2012,1559.04,1559.04,1559.04,1559.04
28/02/2012,1556.73,1556.73,1556.73,1556.73
29/02/2012,1569.65,1569.65,1569.65,1569.65
01/03/2012,1573.45,1573.45,1573.45,1573.45
02/03/2012,1583.78,1583.78,1583.78,1583.78
05/03/2012,1589.22,1589.22,1589.22,1589.22
06/03/2012,1589.91,1589.91,1589.91,1589.91
07/03/2012,1574.83,1574.83,1574.83,1574.83
08/03/2012,1578.36,1578.36,1578.36,1578.36
09/03/2012,1579,1579,1579,1579
12/03/2012,1564.75,1564.75,1564.75,1564.75
13/03/2012,1564.02,1564.02,1564.02,1564.02
14/03/2012,1575.71,1575.71,1575.71,1575.71
15/03/2012,1579.38,1579.38,1579.38,1579.38
16/03/2012,1571.4,1571.4,1571.4,1571.4
19/03/2012,1573.6,1573.6,1573.6,1573.6
20/03/2012,1577.62,1577.62,1577.62,1577.62
21/03/2012,1582.53,1582.53,1582.53,1582.53
22/03/2012,1583.24,1583.24,1583.24,1583.24
23/03/2012,1585.83,1585.83,1585.83,1585.83
26/03/2012,1582.98,1582.98,1582.98,1582.98
27/03/2012,1588.1,1588.1,1588.1,1588.1
28/03/2012,1583.75,1583.75,1583.75,1583.75
29/03/2012,1585.44,1585.44,1585.44,1585.44
30/03/2012,1596.33,1596.33,1596.33,1596.33
02/04/2012,1603.78,1603.78,1603.78,1603.78
03/04/2012,1606.63,1606.63,1606.63,1606.63
04/04/2012,1599.27,1599.27,1599.27,1599.27
05/04/2012,1593.44,1593.44,1593.44,1593.44
06/04/2012,1598.87,1598.87,1598.87,1598.87
09/04/2012,1591.28,1591.28,1591.28,1591.28
10/04/2012,1597.17,1597.17,1597.17,1597.17
11/04/2012,1597.17,1597.17,1597.17,1597.17
12/04/2012,1601.27,1601.27,1601.27,1601.27
13/04/2012,1603.12,1603.12,1603.12,1603.12
16/04/2012,1597.51,1597.51,1597.51,1597.51
17/04/2012,1596.19,1596.19,1596.19,1596.19
18/04/2012,1598.86,1598.86,1598.86,1598.86
19/04/2012,1596.62,1596.62,1596.62,1596.62
20/04/2012,1591.85,1591.85,1591.85,1591.85
23/04/2012,1583.8,1583.8,1583.8,1583.8
24/04/2012,1582.28,1582.28,1582.28,1582.28
25/04/2012,1579.35,1579.35,1579.35,1579.35
26/04/2012,1579.69,1579.69,1579.69,1579.69
27/04/2012,1567.8,1567.8,1567.8,1567.8
30/04/2012,1570.61,1570.61,1570.61,1570.61
01/05/2012,1570.61,1570.61,1570.61,1570.61
02/05/2012,1582.39,1582.39,1582.39,1582.39
03/05/2012,1583.17,1583.17,1583.17,1583.17
04/05/2012,1591.04,1591.04,1591.04,1591.04
07/05/2012,1584.87,1584.87,1584.87,1584.87
08/05/2012,1590.6,1590.6,1590.6,1590.6
09/05/2012,1584.9,1584.9,1584.9,1584.9
10/05/2012,1588.06,1588.06,1588.06,1588.06
11/05/2012,1584.32,1584.32,1584.32,1584.32
14/05/2012,1575.08,1575.08,1575.08,1575.08
15/05/2012,1561.07,1561.07,1561.07,1561.07
16/05/2012,1536.04,1536.04,1536.04,1536.04
17/05/2012,1544.21,1544.21,1544.21,1544.21
18/05/2012,1532.46,1532.46,1532.46,1532.46
21/05/2012,1538.91,1538.91,1538.91,1538.91
22/05/2012,1546.84,1546.84,1546.84,1546.84
23/05/2012,1539.71,1539.71,1539.71,1539.71
24/05/2012,1548.25,1548.25,1548.25,1548.25
25/05/2012,1551.12,1551.12,1551.12,1551.12
28/05/2012,1554.94,1554.94,1554.94,1554.94
29/05/2012,1565.32,1565.32,1565.32,1565.32
30/05/2012,1575.17,1575.17,1575.17,1575.17
